season,week,posteam,total_plays,pass_plays,rush_plays,pass_pct,rush_pct,red_zone_pass_pct,deep_pass_pct,avg_air_yards,avg_yards_after_catch
2024,7,CAR,43,20,23,0.46511627906976744,0.5348837209302325,0.25,NA,3.7777777777777777,3.076923076923077
2024,7,CIN,53,28,25,0.5283018867924528,0.4716981132075472,0.5,NA,10.48,6.133333333333334
2024,7,CLE,78,57,21,0.7307692307692307,0.2692307692307692,0.7272727272727273,NA,6.865384615384615,3.6129032258064515
2024,7,DEN,61,26,35,0.4262295081967213,0.5737704918032787,0.375,0.15384615384615385,6.230769230769231,6.5625
2024,7,DET,56,29,27,0.5178571428571429,0.48214285714285715,0,NA,7.04,6.590909090909091
2024,7,GB,56,36,20,0.6428571428571429,0.35714285714285715,0.7142857142857143,NA,9,3.375
2024,7,HOU,59,25,34,0.423728813559322,0.576271186440678,0.25,NA,7.285714285714286,4.6
2024,7,IND,61,24,37,0.39344262295081966,0.6065573770491803,0.1111111111111111,0.16666666666666666,10.041666666666666,5.4
2024,7,JAX,60,21,39,0.35,0.65,0.23809523809523808,NA,5.55,5.866666666666666
2024,7,KC,68,29,39,0.4264705882352941,0.5735294117647058,0.2857142857142857,NA,7.851851851851852,6.3125
2024,7,LA,52,24,28,0.46153846153846156,0.5384615384615384,0.3333333333333333,NA,6.217391304347826,7.571428571428571
2024,7,LAC,64,42,22,0.65625,0.34375,0.6666666666666666,NA,8.615384615384615,4.62962962962963
2024,7,LV,75,46,29,0.6133333333333333,0.38666666666666666,0.7,NA,7.068181818181818,6.761904761904762
2024,7,MIA,68,28,40,0.4117647058823529,0.5882352941176471,0.42857142857142855,NA,8.23076923076923,5.133333333333334
2024,7,MIN,53,32,21,0.6037735849056604,0.39622641509433965,1,NA,7.962962962962963,4.045454545454546
2024,7,NE,55,40,15,0.7272727272727273,0.2727272727272727,1,NA,7.5675675675675675,5.461538461538462
2024,7,NO,66,45,21,0.6818181818181818,0.3181818181818182,1,NA,7.0256410256410255,3.607142857142857
2024,7,NYG,55,37,18,0.6727272727272727,0.32727272727272727,1,NA,6.862068965517241,3.5294117647058822
2024,7,NYJ,56,41,15,0.7321428571428571,0.26785714285714285,0.75,NA,5.205128205128205,7.75
2024,7,PHI,65,20,45,0.3076923076923077,0.6923076923076923,0.07142857142857142,NA,7,3.8
2024,7,PIT,66,30,36,0.45454545454545453,0.5454545454545454,0.35,NA,8.206896551724139,7.1875
2024,7,SEA,56,30,26,0.5357142857142857,0.4642857142857143,0.8,NA,13.03448275862069,3.473684210526316
2024,7,SF,57,33,24,0.5789473684210527,0.42105263157894735,0.5,NA,9.290322580645162,4.529411764705882
2024,7,TB,80,50,30,0.625,0.375,0.75,NA,8.71111111111111,6.709677419354839
2024,7,TEN,67,43,24,0.6417910447761194,0.3582089552238806,0.75,NA,5.625,4.76
2024,7,WAS,63,26,37,0.4126984126984127,0.5873015873015873,0.375,NA,9.52,2.95
2024,8,ARI,63,36,27,0.5714285714285714,0.42857142857142855,0.36363636363636365,0.1111111111111111,7.611111111111111,3.6923076923076925
2024,8,ATL,60,31,29,0.5166666666666667,0.48333333333333334,0.5,NA,6.827586206896552,7.260869565217392
2024,8,BAL,62,41,21,0.6612903225806451,0.3387096774193548,0.5555555555555556,NA,9.947368421052632,5.739130434782608
